"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_HISP","gap_completion_white_hispanic"
"536","Southern California Institute of Architecture",2,37339,12626,0.6667,1,-0.499925003749813
"537","University of Southern California",2,30675,43170,0.9046,0.8897,0.0164713685606897
"541","Thomas Aquinas College",2,12606,11783,0.75,0.625,0.166666666666667
"543","Epic Bible College",2,11427,4769,0.3333,1,-2.000300030003
"559","Westmont College",2,20556,14047,0.7941,0.7778,0.0205263820677496
"560","Whittier College",2,24728,11796,0.6684,0.7355,-0.100388988629563
"561","Woodbury University",2,19323,11338,0.3438,0.377,-0.0965677719604421
"568","Adams State University",1,6568,8399,0.2953,0.1056,0.642397561801558
"573","University of Colorado Denver/Anschutz Medical Campus",1,13347,26708,0.3936,0.3373,0.143038617886179
"574","University of Colorado Colorado Springs",1,10048,7093,0.4761,0.4103,0.138206259189246
"576","University of Colorado Boulder",1,17532,14987,0.7084,0.6318,0.108130999435347
"577","Colorado Christian University",2,13179,3354,0.4457,0.3125,0.298855732555531
"578","Colorado College",2,28609,21002,0.8634,0.8909,-0.0318508223303221
"580","The Art Institute of Colorado",3,14763,4820,0.2685,0.36,-0.340782122905028
"581","Colorado Mountain College",1,2145,8866,0.2683,0.1538,0.426761088333955
"583","Colorado School of Mines",1,18760,14527,0.7781,0.8235,-0.0583472561367433
"585","Colorado State University-Fort Collins",1,12634,10857,0.6689,0.5405,0.191956944236807
"586","Colorado Technical University-Colorado Springs",3,16251,3724,0.2857,0.3333,-0.166608330416521
"589","CollegeAmerica-Denver",2,17746,4604,0.2179,0.2339,-0.0734281780633317
"595","Westwood College-Denver North",3,13845,3887,0.2017,0.254,-0.259295984134854
"596","University of Denver",2,26394,14380,0.7839,0.7051,0.10052302589616
"598","Fort Lewis College",1,5828,6479,0.4168,0.3488,0.163147792706334
"605","Colorado Mesa University",1,6676,5710,0.3414,0.3097,0.0928529584065612
"606","Metropolitan State University of Denver",1,5712,5132,0.2726,0.2108,0.226705796038151
"613","University of Northern Colorado",1,9425,8348,0.4823,0.4098,0.150321376736471
"620","Regis University",2,14235,6455,0.5967,0.5789,0.0298307357130887
"621","Rocky Mountain College of Art and Design",3,17017,7333,0.5567,0.25,0.55092509430573
"623","Colorado State University-Pueblo",1,4750,5205,0.3598,0.2664,0.25958866036687
"629","Western State Colorado University",1,7976,8328,0.373,0.3243,0.130563002680965
"630","Albertus Magnus College",2,12659,5428,0.5545,0.4571,0.175653742110009
"634","Lincoln College of New England-Southington",3,20794,10757,0.2388,0.1579,0.338777219430486
"636","University of Bridgeport",2,16453,8099,0.4306,0.3067,0.287738039944264
"637","Central Connecticut State University",1,7796,9928,0.5464,0.4842,0.113836017569546
"640","Connecticut College",2,28347,19122,0.8213,0.9286,-0.130646535979545
"643","University of Connecticut",1,11680,22554,0.8157,0.7653,0.061787421846267
"644","Goodwin College",2,15929,10926,0.283,0.22,0.222614840989399
"646","Eastern Connecticut State University",1,6709,9736,0.5869,0.4063,0.307718521042767
"647","Fairfield University",2,24805,11411,0.7892,0.7978,-0.0108971109984794
"653","University of Hartford",2,16393,12724,0.5611,0.4,0.28711459632864
"660","Mitchell College",2,14981,5256,0.4815,0.2667,0.446105919003115
"664","University of New Haven",2,18751,8446,0.5525,0.4175,0.244343891402715
"671","Post University",3,11859,2508,0.2879,0.2143,0.255644320944773
"673","Quinnipiac University",2,27462,14176,0.7563,0.7727,-0.021684516726167
"674","Sacred Heart University",2,19851,8425,0.6739,0.6852,-0.016768066478706
"675","University of Saint Joseph",2,18255,11708,0.6045,0.3548,0.413068651778329
"677","St Vincent's College",2,14381,9281,0.5,1,-1
"678","Southern Connecticut State University",1,8750,11023,0.5517,0.4468,0.190139568606127
"681","Trinity College",2,30787,23628,0.8225,0.9348,-0.136534954407295
"683","Wesleyan University",2,29384,25359,0.9399,0.9516,-0.012448132780083
"684","Western Connecticut State University",1,7369,10530,0.4443,0.3402,0.234301147873059
"686","Yale University",2,15008,107982,0.9749,0.9398,0.0360036926864294
"692","Delaware State University",1,6032,11129,0.5455,0.5,0.0834097158570119
"693","University of Delaware",1,17838,17395,0.8058,0.7906,0.0188632414991313
"694","Goldey-Beacom College",2,14321,3093,0.5686,0.5,0.120647203658108
"696","Wesley College",2,14441,6592,0.2641,0.1538,0.417644831503219
"697","Wilmington University",2,8049,3231,0.4227,0.6,-0.4194464158978
"698","American University",2,30440,12620,0.8244,0.7969,0.0333575934012615
"699","Catholic University of America",2,22765,16368,0.6744,0.6232,0.0759193357058126
"700","University of the District of Columbia",1,7812,13675,0.125,0.2069,-0.6552
"702","Gallaudet University",2,12269,35595,0.4775,0.625,-0.308900523560209
"703","George Washington University",2,28464,20938,0.7941,0.7884,0.00717793728749533
"704","Georgetown University",2,34183,31102,0.9527,0.963,-0.0108113781883069
"709","Trinity Washington University",2,15381,5795,0.6667,0.5455,0.181790910454477
"712","The Art Institute of Fort Lauderdale",3,14567,5513,0.4272,0.4272,0
"714","The Baptist College of Florida",2,8740,6018,0.4444,1,-1.25022502250225
"715","Barry University",2,16459,9969,0.3784,0.3538,0.0650105708245243
"717","Bethune-Cookman University",2,10171,6759,0.3333,0.4375,-0.312631263126313
"718","Lynn University",2,22163,8399,0.3475,0.3,0.136690647482014
"721","Eastern Florida State College",1,1610,3942,0.4897,0.4331,0.115580967939555
"722","Broward College",1,1200,3212,0.375,0.3491,0.0690666666666666
"725","College of Central Florida",1,1192,3566,0.4417,0.3271,0.259452116821372
"726","Johnson University Florida",2,9537,3929,0.3947,0.4,-0.0134279199391944
"727","University of Central Florida",1,5199,5687,0.7024,0.6988,0.00512528473804107
"729","Chipola College",1,1414,6176,0.4608,0.0909,0.802734375
"730","Clearwater Christian College",2,11484,5278,0.486,0.6667,-0.371810699588477
"732","Daytona State College",1,1501,5291,0.3944,0.3495,0.113843813387424
"734","Eckerd College",2,19367,11485,0.6701,0.6216,0.0723772571258021
"735","Florida SouthWestern State College",1,1318,3782,0.3337,0.3541,-0.0611327539706324
"737","Embry-Riddle Aeronautical University-Daytona Beach",2,29248,15223,0.5517,0.3878,0.297081747326446
"738","Florida Agricultural and Mechanical University",1,5113,9739,0.3548,0.3077,0.132750845546787
"739","Florida Atlantic University",1,5550,6869,0.454,0.4683,-0.0314977973568281
"740","Florida State College at Jacksonville",1,1854,3699,0.3817,0.4375,-0.146188105842285
"741","Flagler College-St Augustine",2,13414,5649,0.5709,0.625,-0.0947626554562971
"742","Florida College",2,15025,9075,0.5549,0.2308,0.584069201657956
"746","Adventist University of Health Sciences",2,12392,8494,0.35,0.4286,-0.224571428571429
"747","Florida Institute of Technology",2,21450,12044,0.5677,0.3889,0.314955081909459
"749","Florida International University",1,6256,6843,0.4858,0.5613,-0.155413750514615
"752","Florida Career College-Miami",3,8903,2939,0.4084,0.2919,0.285259549461312
"754","Florida Southern College",2,16051,6879,0.6522,0.6486,0.00551977920883172
"755","Florida State University",1,6263,9688,0.7911,0.793,-0.00240171912526863
"756","Florida Technical College",3,5633,3014,0.5737,0.5906,-0.0294579048283075
"757","University of Southernmost Florida",3,9045,11547,1,1,0
"758","University of Florida",1,7553,15962,0.8866,0.883,0.00406045567335895
"759","Everest University-Pompano Beach",3,11797,4758,0.4857,0.4862,-0.00102944204241301
"761","Full Sail University",3,13051,3672,0.6183,0.562,0.0910561216238071
"764","Gulf Coast State College",1,1166,5194,0.3412,0.2,0.413833528722157
"770","Indian River State College",1,1316,5211,0.4284,0.3772,0.119514472455649
"771","Sanford-Brown College-Tampa",3,20233,7559,0.3739,0.2727,0.27066060443969
"773","AI Miami International University of Art and Design",3,15302,5146,0.4109,0.5078,-0.235823801411536
"774","ITT Technical Institute-Tampa",3,18423,3286,0.5185,0.4615,0.1099324975892
"775","Jacksonville University",2,10885,7851,0.4486,0.3913,0.127730717788676
"777","Keiser University-Ft Lauderdale",2,14124,4455,0.6402,0.4594,0.282411746329272
"780","Florida Gateway College",1,1412,4791,0.5145,0.75,-0.457725947521866
"782","Lake-Sumter State College",1,1925,3767,0.4136,0.4,0.0328820116054159
"788","State College of Florida-Manatee-Sarasota",1,2379,3505,0.3411,0.26,0.237760187628262
"795","Miami Dade College",1,1476,3652,0.3297,0.3439,-0.0430694570821959
"796","University of Miami",2,29286,28897,0.8155,0.8324,-0.0207234825260577
"799","Remington College-Tampa Campus",2,11276,7507,0.5114,0.5833,-0.14059444661713
"802","Lincoln College of Technology-West Palm Beach",3,11856,4913,0.502,0.5315,-0.0587649402390438
"805","University of North Florida",1,5264,5572,0.5507,0.5259,0.045033593608135
"806","Northwood University-Florida",2,16307,7663,0.2955,0.2222,0.248054145516074
"807","Nova Southeastern University",2,17966,11457,0.4682,0.4565,0.0249893208030756
"808","Northwest Florida State College",1,1854,4226,0.4089,0.4688,-0.146490584494987
"809","Everest University-North Orlando",3,11246,6183,0.477,0.4948,-0.0373165618448638
"811","Palm Beach Atlantic University",2,16273,7901,0.5691,0.4211,0.260059743454577
"812","Palm Beach State College",1,1991,3656,0.3461,0.3383,0.0225368390638545
"813","Pasco-Hernando State College",1,1386,3321,0.3537,0.3022,0.145603618886062
"814","Pensacola State College",1,1375,4280,0.3533,0.2045,0.421171808661194
"816","Polk State College",1,1559,4315,0.3016,0.281,0.0683023872679044
"820","Ringling College of Art and Design",2,34848,18531,0.6453,0.7308,-0.132496513249651
"822","Rollins College",2,18320,11800,0.7139,0.65,0.0895083345006303
"824","Saint Leo University",2,9630,3668,0.4642,0.4063,0.124730719517449
"825","St Petersburg College",1,1973,4443,0.3624,0.2585,0.286699779249448
"827","Santa Fe College",1,2121,3868,0.614,0.6059,0.0131921824104234
"830","Seminole State College of Florida",1,1848,3622,0.4055,0.4169,-0.0281134401972872
"832","Saint John Vianney College Seminary",2,20490,8341,0.3333,0.5,-0.5001500150015
"833","Saint Johns River State College",1,1711,4113,0.435,0.4032,0.0731034482758621
"834","South Florida State College",1,1006,6368,0.4132,0.5192,-0.256534365924492
"835","University of South Florida-Main Campus",1,6454,8841,0.6634,0.6852,-0.0328610189930661
"836","St Thomas University",2,16172,7797,0.2727,0.3621,-0.327832783278328
"838","Stetson University",2,18645,11669,0.6159,0.6324,-0.0267900633219678
"839","Southeastern University",2,11590,4482,0.4633,0.3452,0.254910425210447
"843","Talmudic College of Florida",2,4864,11566,0.75,1,-0.333333333333333
"844","Everest University-Tampa",3,9718,5676,0.5484,0.5714,-0.0419401896425967
"845","Everest University-Largo",3,10770,5945,0.5249,0.4272,0.186130691560297
"846","The University of Tampa",2,16628,5784,0.6215,0.6348,-0.0213998390989541
"849","Trinity Baptist College",2,4946,2512,0.4096,0.5,-0.220703125
"850","Trinity College of Florida",2,11781,4538,0.4375,0.1667,0.618971428571429
"852","Valencia College",1,1793,3022,0.4881,0.4245,0.130301167793485
"853","Warner University",2,4529,3151,0.3953,0.4762,-0.204654692638502
"855","Webber International University",2,12023,2949,0.3163,0.4444,-0.404995257666772
"856","Rasmussen College-Florida",3,12118,2431,0.3175,0.2353,0.258897637795276
"857","The University of West Florida",1,5937,6022,0.5157,0.5714,-0.108008532092302
"862","Abraham Baldwin Agricultural College",1,2359,4808,0.188,0.2821,-0.500531914893617
"863","Agnes Scott College",2,12517,14843,0.7475,0.5714,0.235585284280936
"867","Darton State College",1,2443,3741,0.2009,0.1538,0.2344449975112
"868","Albany State University",1,4030,6772,0.1429,0.3333,-1.33240027991603
"870","Armstrong State University",1,4839,6105,0.3278,0.3636,-0.10921293471629
"871","The Art Institute of Atlanta",3,12641,3957,0.249,0.2941,-0.181124497991968
"874","Point University",2,9337,5833,0.3095,0.5,-0.615508885298869
"881","Bauder College",3,9879,4670,0.6667,0.3333,0.500074996250187
"883","Berry College",2,13245,12558,0.628,0.6,0.0445859872611465
"885","Brenau University",2,13562,6985,0.4742,0.8,-0.687051876845213
"886","Brewton-Parker College",2,6173,4063,0.1839,0.125,0.320282762370854
"888","College of Coastal Georgia",1,2309,6533,0.1719,0.1579,0.0814426992437463
"891","Clayton  State University",1,4743,5578,0.2747,0.375,-0.365125591554423
"894","Columbus State University",1,6154,7509,0.3477,0.5,-0.438021282714984
"896","Covenant College",2,13871,8640,0.5833,0.3333,0.428595919766844
"897","Dalton State College",1,2252,5139,0.1622,0.1748,-0.0776818742293465
"901","Emmanuel College",2,8120,4819,0.4828,0.4444,0.0795360397680199
"902","Emory University",2,24533,40450,0.8815,0.9077,-0.0297220646625071
"903","Georgia Highlands College",1,2454,3367,0.0714,0.125,-0.750700280112045
"904","Fort Valley State University",1,3485,5226,0.3333,0.6,-0.8001800180018
"906","Georgia Institute of Technology-Main Campus",1,12832,13216,0.8148,0.8034,0.0139911634756995
"907","Georgia Southwestern State University",1,4506,6156,0.3249,0.3846,-0.183748845798707
"908","Georgia College and State University",1,7922,7436,0.6177,0.566,0.0836975878258055
"909","Georgia Southern University",1,5686,6032,0.5154,0.5079,0.0145518044237485
"910","Georgia State University",1,7171,7241,0.5027,0.5468,-0.0877262780982692
"911","University of Georgia",1,10408,8634,0.8513,0.8041,0.0554446141195817
"912","Gordon State College",1,2139,4104,0.1753,0.0741,0.577296063890473
"918","Kennesaw State University",1,6034,6167,0.4371,0.413,0.0551361244566461
"919","LaGrange College",2,14307,12322,0.5323,0.5,0.0606800676310351
"921","Life University",2,19362,5145,0.4211,0.3333,0.208501543576348
"924","Mercer University",2,16330,10757,0.6744,0.7368,-0.0925266903914591
"929","Oglethorpe University",2,12338,8735,0.568,0.4,0.295774647887324
"931","Piedmont College",2,9122,7524,0.5897,0.25,0.576055621502459
"935","Savannah College of Art and Design",2,25740,10192,0.742,0.5385,0.274258760107817
"937","Shorter University",2,8944,5685,0.4575,0.1667,0.635628415300547
"941","Southern Polytechnic State University",1,6216,5988,0.3483,0.5,-0.435544071202986
"944","Toccoa Falls College",2,10336,4983,0.5111,0.5,0.0217178634318137
"947","Valdosta State University",1,5474,6493,0.3992,0.3478,0.12875751503006
"948","Wesleyan College",2,10081,11435,0.5,0.5,0
"949","University of West Georgia",1,5366,6635,0.4159,0.4179,-0.00480884828083674
"950","Young Harris College",2,9769,8794,0.4706,0.619,-0.315342116447089
"952","Chaminade University of Honolulu",2,14296,8320,0.4138,0.3636,0.121314644755921
"953","University of Hawaii at Hilo",1,7031,13729,0.36,0.4615,-0.281944444444445
"954","University of Hawaii at Manoa",1,9558,19856,0.4431,0.439,0.00925299029564431
"956","Hawaii Pacific University",2,15303,6823,0.3354,0.3514,-0.0477042337507454
"961","University of Hawaii Maui College",1,2180,11649,0.169,0.1429,0.154437869822485
"968","Boise Bible College",2,11209,6926,0.425,0.5,-0.176470588235294
"969","Boise State University",1,6727,7399,0.3617,0.2619,0.275919270113354
"971","Idaho State University",1,7624,9016,0.3362,0.2833,0.157346817370613
"972","University of Idaho",1,8109,11119,0.5917,0.5243,0.11390907554504
"973","The College of Idaho",2,10436,6695,0.6443,0.5484,0.148843706347975
"974","Lewis-Clark State College",1,5085,6996,0.2974,0.1935,0.349361129791527
"975","ITT Technical Institute-Boise",3,18612,4859,0.3286,0.1333,0.594339622641509
"979","Northwest Nazarene University",2,11663,8351,0.5508,0.6364,-0.155410312273057
"981","Brigham Young University-Idaho",2,2424,4263,0.5672,0.4889,0.138046544428773
"986","American Academy of Art",3,25450,4154,0.5536,0.4545,0.179010115606936
"987","School of the Art Institute of Chicago",2,27614,13923,0.55,0.4722,0.141454545454545
"988","Augustana College",2,17802,10237,0.7564,0.6818,0.0986250661025912
"989","Aurora University",2,11230,4736,0.5699,0.6545,-0.148447095981751
"994","Blackburn College",2,12758,7214,0.4094,1,-1.44259892525647
"1011","Chicago State University",1,5468,15606,0.8333,0.1471,0.823472938917557
"1013","University of Chicago",2,27753,83779,0.9349,0.8774,0.0615039041608728
"1021","Columbia College-Chicago",2,19883,13211,0.4724,0.4733,-0.00190516511430993
"1022","Concordia University-Chicago",2,13719,8701,0.717,0.3929,0.452022315202231
"1027","DePaul University",2,22044,12896,0.7294,0.7103,0.0261859062242939
"1030","East-West University",2,6677,5079,0.4,0.1471,0.63225
"1031","Eastern Illinois University",1,7193,13142,0.6392,0.4697,0.26517521902378
"1033","Elmhurst College",2,14872,8231,0.7483,0.6538,0.126286248830683
"1034","Eureka College",2,13716,6400,0.552,0.3333,0.396195652173913
"1041","Greenville College",2,11475,7370,0.4881,0.8,-0.63900839991805
