"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_ASIAN","gap_completion_white_asian"
"1170","Bethel College-Indiana",2,13390,7865,0.7638,0.5,0.345378371301388
"1171","Butler University",2,21007,13481,0.7906,0.6111,0.227042752339995
"1177","DePauw University",2,17231,18608,0.7918,0.92,-0.161909573124527
"1180","Earlham College",2,14123,21481,0.7233,0.6923,0.042859117931702
"1181","University of Evansville",2,13541,10614,0.6449,0.8333,-0.292138316017987
"1183","Goshen College",2,14638,11031,0.7252,1,-0.378929950358522
"1184","Grace College and Theological Seminary",2,7353,6263,0.6482,1,-0.54273372415921
"1187","Hanover College",2,11161,11611,0.6929,0.75,-0.0824072737768798
"1189","Holy Cross College",2,12635,5319,0.3289,0.6667,-1.02705989662511
"1191","Huntington University",2,11041,9279,0.5823,1,-0.717327837884252
"1193","Indiana University-Purdue University-Fort Wayne",1,5643,7804,0.2714,0.2857,-0.0526897568165071
"1194","Indiana University-Purdue University-Indianapolis",1,10593,15469,0.4297,0.5686,-0.323248778217361
"1196","University of Indianapolis",2,13502,8185,0.5712,0.25,0.562324929971989
"1197","Indiana Institute of Technology",2,6364,3392,0.675,1,-0.481481481481481
"1198","University of Southern Indiana",1,5288,6024,0.4287,0.5926,-0.382318637742011
"1199","Indiana State University",1,5726,7289,0.4356,0.3571,0.180211202938476
"1201","Indiana University-South Bend",1,5284,7553,0.2675,0.4286,-0.602242990654205
"1202","Indiana University-Bloomington",1,16449,13730,0.791,0.7993,-0.0104930467762326
"1203","Indiana University-Northwest",1,5147,6340,0.3244,0.2857,0.119297163995068
"1204","Indiana University-Southeast",1,5274,6754,0.3329,0.5714,-0.716431360769
"1210","ITT Technical Institute-Indianapolis",3,15197,2310,0.2444,1,-3.09165302782324
"1214","Brown Mackie College-Merrillville",3,10744,3130,0.5085,1,-0.966568338249754
"1220","Indiana Wesleyan University-Marion",2,9769,3941,0.6484,0.8,-0.233806292412091
"1225","Brown Mackie College-South Bend",3,10853,4582,0.3571,1,-1.80033604032484
"1228","University of Notre Dame",2,22629,26632,0.9617,0.9159,0.0476239991681397
"1231","Purdue University-Calumet Campus",1,7138,7768,0.3631,0.4545,-0.251721288901129
"1232","Purdue University-North Central Campus",1,4856,5080,0.2488,0.2,0.196141479099678
"1235","Rose-Hulman Institute of Technology",2,23137,20942,0.747,0.9231,-0.23574297188755
"1238","Saint Josephs College",2,7930,6227,0.4915,0.6667,-0.35645981688708
"1240","Saint Mary's College",2,17442,14546,0.8225,0.6667,0.189422492401216
"1244","Taylor University",2,16781,10270,0.7463,0.8889,-0.191075974809058
"1246","Valparaiso University",2,17219,10528,0.7122,0.5,0.297950014041
"1248","Vincennes University",1,2869,5454,0.2753,0.125,0.545949872865964
"1249","Wabash College",2,15784,15009,0.7857,0.6667,0.151457299223622
"1251","AIB College of Business",2,8658,3604,0.5648,0.5,0.114730878186969
"1252","Briar Cliff University",2,12414,6604,0.4901,0.6667,-0.360334625586615
"1253","Buena Vista University",2,10990,7185,0.4789,0.25,0.477970348715807
"1257","Central College",2,15272,13075,0.6923,0.5714,0.174635273725264
"1259","Coe College",2,12992,12068,0.6932,1,-0.442585112521639
"1260","Cornell College",2,14872,10924,0.6608,0.7778,-0.177058111380145
"1264","Dordt College",2,13877,9273,0.6686,1,-0.495662578522285
"1265","Drake University",2,19025,9898,0.7829,0.9,-0.14957210371695
"1266","University of Dubuque",2,17590,6773,0.7315,0.5,0.316473000683527
"1268","Emmaus Bible College",2,10032,7013,0.8113,1,-0.232589670898558
"1270","Faith Baptist Bible College and Theological Seminary",2,10253,6877,0.6364,1,-0.571338780641106
"1273","Grand View University",2,13313,6321,0.5125,0.5,0.0243902439024389
"1274","Grinnell College",2,15725,23944,0.903,0.9091,-0.00675526024363233
"1276","Kaplan University-Cedar Rapids Campus",3,6914,1972,0.4615,0.5,-0.0834236186348862
"1286","Iowa State University",1,9647,9179,0.708,0.6571,0.0718926553672316
"1289","University of Iowa",1,13687,14593,0.7059,0.7153,-0.0133163337583228
"1296","Luther College",2,18373,13112,0.8356,0.7273,0.129607467687889
"1300","Morningside College",2,10192,5590,0.5649,0.5,0.114887590724022
"1301","Mount Mercy University",2,16210,8414,0.7219,1,-0.385233411829893
"1302","Ashford University",3,11829,2024,0.2215,0.1333,0.398194130925508
"1304","University of Northern Iowa",1,5924,9802,0.6486,0.7143,-0.101295097132285
"1305","Northwestern College",2,11801,8356,0.6471,0.3333,0.4849327770051
"1312","Saint Ambrose University",2,15626,9031,0.5904,0.5714,0.0321815718157182
"1316","Simpson College",2,12406,8297,0.7314,0.6667,0.0884604867377633
"1322","Upper Iowa University",2,7458,3549,0.4754,0.25,0.474127050904501
"1324","Wartburg College",2,15348,9632,0.7366,0.25,0.660602769481401
"1328","William Penn University",2,9228,4941,0.4336,0.75,-0.729704797047971
"1330","Baker University",2,11872,5319,0.6209,1,-0.610565308423257
"1335","Brown Mackie College-Kansas City",3,12175,5079,0.3091,0.375,-0.213199611776124
"1336","Brown Mackie College-Salina",3,10073,3945,0.4,0.4,0
"1348","Emporia State University",1,6954,7276,0.4091,0.5,-0.222195062331948
"1350","Fort Hays State University",1,5390,5317,0.4474,0.25,0.441215914170764
"1351","Barclay College",2,13079,3770,0.5172,1,-0.933488012374323
"1362","Concorde Career College-Kansas City",3,12756,7180,0.5864,0.6667,-0.13693724420191
"1365","University of Kansas",1,10881,17259,0.6101,0.6374,-0.0447467628257663
"1366","Newman University",2,8188,4415,0.4881,0.8,-0.63900839991805
"1368","Kansas State University",1,9596,11388,0.6225,0.5152,0.172369477911647
"1369","Kansas Wesleyan University",2,12463,5154,0.3654,0.3333,0.0878489326765189
"1375","McPherson College",2,10327,8340,0.49,0.25,0.489795918367347
"1380","Ottawa University-Ottawa",2,10434,2901,0.3884,0.5,-0.287332646755922
"1382","Pittsburg State University",1,4817,6468,0.5136,0.5,0.0264797507788161
"1390","Tabor College",2,9635,5332,0.7595,0.5,0.341672152732061
"1391","Washburn University",1,5475,8277,0.4087,0.3333,0.184487399070223
"1393","Wichita State University",1,6453,6772,0.4721,0.5301,-0.122855327261173
"1396","Asbury University",2,14365,9212,0.6996,0.4,0.428244711263579
"1400","Bellarmine University",2,15929,8774,0.6752,0.5833,0.136107819905213
"1401","Berea College",2,2917,14851,0.5813,0.6,-0.0321692757612247
"1405","Campbellsville University",2,9110,5694,0.4343,1,-1.30255583697905
"1407","Centre College",2,18011,16874,0.8271,0.7143,0.136380123322452
"1412","University of the Cumberlands",2,8477,4353,0.4241,0.5,-0.178967224711153
"1413","Eastern Kentucky University",1,6440,8940,0.4315,0.5789,-0.341599073001159
"1430","University of Kentucky",1,10959,11208,0.627,0.6667,-0.0633173843700159
"1435","University of Louisville",1,11357,15324,0.5419,0.6212,-0.146336962539214
"1440","Morehead State University",1,4950,7086,0.4388,0.5,-0.13947128532361
"1441","Murray State University",1,7371,8075,0.5292,0.5833,-0.102229780801209
"1443","Northern Kentucky University",1,8607,7407,0.3783,0.4615,-0.219931271477663
"1460","Spencerian College-Louisville",3,14533,7586,0.6016,0.6667,-0.108211436170213
"1462","Thomas More College",2,12637,6692,0.5,1,-1
"1463","Transylvania University",2,13229,9988,0.7132,1,-0.402131239484016
"1466","Western Kentucky University",1,7780,8290,0.4821,0.3939,0.182949595519602
"1476","Centenary College of Louisiana",2,12340,13193,0.5198,1,-0.923816852635629
"1493","Louisiana State University and Agricultural & Mechanical College",1,10082,10227,0.6797,0.6821,-0.00353096954538777
"1495","Louisiana State University-Shreveport",1,4180,6256,0.3514,0.25,0.288560045532157
"1501","Louisiana Tech University",1,6473,6006,0.5519,0.7778,-0.409313281391557
"1502","Loyola University New Orleans",2,18553,12082,0.6266,0.7143,-0.139961698052984
"1503","McNeese State University",1,4780,4921,0.439,0.3636,0.171753986332574
"1504","University of New Orleans",1,7792,8102,0.3251,0.3736,-0.149184866195017
"1505","Nicholls State University",1,5254,5685,0.4332,0.4167,0.0380886426592797
"1506","University of Louisiana at Monroe",1,6327,6141,0.428,0.5,-0.168224299065421
"1509","Northwestern State University of Louisiana",1,5838,5447,0.3946,0.4,-0.0136847440446022
"1510","University of Holy Cross",2,13551,5405,0.3559,0.3333,0.0635009834223097
"1511","Our Lady of the Lake College",2,12893,7026,0.3281,0.6667,-1.03200243828101
"1524","Southeastern Louisiana University",1,4772,5717,0.3984,0.2727,0.315512048192771
"1528","University of Louisiana at Lafayette",1,5702,5433,0.5054,0.4348,0.139691333597151
"1530","Tulane University of Louisiana",2,24250,21627,0.8452,0.85,-0.00567912920018934
"1531","Xavier University of Louisiana",2,15977,8378,0.2727,0.6182,-1.26696002933627
"1534","College of the Atlantic",2,37489,12848,0.75,0.5,0.333333333333333
"1535","Bates College",2,41051,21684,0.8834,0.913,-0.0335069051392349
"1537","Bowdoin College",2,28543,27158,0.9615,0.973,-0.0119604784191367
"1540","Colby College",2,28496,19918,0.9204,0.878,0.0460669274228596
"1546","University of Maine at Farmington",1,6403,9705,0.5406,0.6,-0.109877913429523
"1549","University of Maine",1,9569,10098,0.5991,0.6,-0.00150225338007013
"1555","Maine College of Art",2,18009,10322,0.4556,0.3333,0.268437225636523
"1556","Saint Joseph's College of Maine",2,9806,6776,0.6308,0.4,0.365884590995561
"1559","University of Southern Maine",1,8764,9665,0.3354,0.0588,0.824686940966011
"1560","Thomas College",2,10375,3685,0.4416,1,-1.26449275362319
"1571","University of Baltimore",1,10024,9029,0.5435,0.4545,0.163753449862005
"1572","Bowie State University",1,5394,6933,0.4545,0.4286,0.0569856985698571
"1573","Capitol Technology University",2,22353,6546,0.5,1,-1
"1577","Washington Adventist University",2,10184,10322,0.3333,1,-2.000300030003
"1582","Frostburg State University",1,5333,7315,0.513,0.375,0.269005847953216
"1584","Goucher College",2,17814,14320,0.6444,0.5,0.224084419615146
"1585","Kaplan University-Hagerstown Campus",3,8241,2035,0.4256,1,-1.34962406015038
"1588","Hood College",2,15064,8924,0.7318,0.625,0.145941514074884
"1591","Johns Hopkins University",2,23199,77339,0.9423,0.952,-0.0102939615833598
"1594","Loyola University Maryland",2,24968,11858,0.8393,0.7255,0.135589181460741
"1596","University of Maryland-University College",1,10859,4401,0.0357,0.1667,-3.66946778711484
"1598","University of Maryland-Baltimore County",1,8750,9911,0.6344,0.6092,0.0397225725094578
"1599","University of Maryland-College Park",1,11089,13487,0.8653,0.8843,-0.0219577025309142
"1600","Maryland Institute College of Art",2,27067,13752,0.7311,0.6818,0.0674326357543428
"1601","University of Maryland Eastern Shore",1,4016,8675,0.3784,0.2,0.471458773784355
"1605","Morgan State University",1,5872,9454,0.0714,0.4286,-5.00280112044818
"1606","Mount St Mary's University",2,16339,9008,0.6462,0.7333,-0.134787991333952
"1609","Notre Dame of Maryland University",2,15870,10387,0.6296,0.3333,0.47061626429479
"1614","Salisbury University",1,6252,6764,0.6801,0.6857,-0.00823408322305534
"1615","St Mary's College of Maryland",1,12403,13744,0.8199,0.8235,-0.00439077936333705
"1617","St John's College",2,22377,19343,0.7317,0.75,-0.025010250102501
"1619","Towson University",1,6531,5824,0.6983,0.6697,0.0409566089073465
"1622","Stevenson University",2,14586,9166,0.6829,0.3478,0.490701420412945
"1623","Washington College",2,20737,13085,0.7627,0.5,0.34443424675495
"1624","McDaniel College",2,14652,9518,0.6812,0.8421,-0.236200822078685
"1629","Amherst College",2,23728,25196,0.9583,0.9583,0
"1631","Anna Maria College",2,15425,6591,0.4263,0.25,0.41355852685902
"1633","Assumption College",2,13538,8256,0.7198,0.5,0.305362600722423
"1634","Babson College",2,33960,14110,0.9162,0.7833,0.14505566470203
"1637","Bay Path University",2,13659,6300,0.6667,0.8,-0.19994000299985
"1638","Bay State College",3,18058,5322,0.2404,0.8,-2.32778702163062
"1640","Becker College",2,18707,6358,0.3333,0.3636,-0.0909090909090909
"1641","Bentley University",2,26044,13120,0.9156,0.8448,0.0773263433813892
"1642","Berklee College of Music",2,30778,20631,0.4839,0.4643,0.0405042364124819
"1645","Boston Architectural College",2,18787,7513,0.1143,0.1429,-0.250218722659668
"1647","Boston College",2,29527,20571,0.931,0.8955,0.0381310418904405
"1648","The Boston Conservatory",2,51665,30750,0.6897,0.6429,0.0678555893866898
"1649","Boston University",2,28408,26542,0.8717,0.8834,-0.013422048870024
"1650","Brandeis University",2,20256,14961,0.9707,0.9211,0.0510971463892036
"1651","Bridgewater State University",1,7655,5945,0.5964,0.6087,-0.0206237424547283
"1659","Clark University",2,16719,10719,0.7917,0.7931,-0.00176834659593289
"1661","Curry College",2,20717,10358,0.4698,0.4286,0.0876968922945935
"1663","Dean College",2,16144,7298,0.461,0.2,0.566160520607375
"1666","Eastern Nazarene College",2,13130,6285,0.8226,1,-0.215657670799903
"1667","Emerson College",2,25406,9633,0.7786,0.8421,-0.0815566401232982
"1668","Emmanuel College",2,17131,7602,0.6744,0.6429,0.0467081850533807
"1669","Endicott College",2,14246,6182,0.741,0.5,0.325236167341431
"1672","Fisher College",2,12837,7010,0.3455,0.5,-0.447178002894356
"1673","Fitchburg State University",1,6214,8460,0.5805,0.5833,-0.00482342807924207
"1674","Framingham State University",1,5875,5518,0.5318,0.5,0.059796916133885
"1675","Benjamin Franklin Institute of Technology",2,11283,6539,0.5224,0.4706,0.0991577335375191
"1676","Gordon College",2,18066,10259,0.7345,0.6,0.183117767188564
"1680","Hampshire College",2,25111,14371,0.7425,0.6923,0.0676094276094276
"1681","Harvard University",2,30239,49500,0.9865,0.978,0.00861632032437918
"1685","College of the Holy Cross",2,26127,18884,0.9464,0.9091,0.0394125105663567
"1692","Lesley University",2,18064,9026,0.6164,0.5833,0.0536988968202465
"1694","University of Massachusetts-Lowell",1,11698,10748,0.5584,0.5802,-0.0390401146131806
"1697","Marian Court College",2,11115,4780,0.5135,0.3333,0.350925024342746
"1698","University of Massachusetts-Amherst",1,12076,13886,0.7574,0.7854,-0.0369685767097967
"1699","University of Massachusetts-Boston",1,12413,12574,0.424,0.45,-0.0613207547169812
"1701","MCPHS University",2,28155,9636,0.6953,0.7484,-0.0763699122680856
"1702","Massachusetts College of Art and Design",1,11821,11227,0.7041,0.6,0.147848317000426
"1703","Massachusetts Institute of Technology",2,28992,62770,0.922,0.9522,-0.0327548806941432
"1704","Massachusetts Maritime Academy",1,8830,8702,0.7029,0.75,-0.0670081092616304
"1709","Merrimack College",2,17808,8599,0.7301,0.4545,0.377482536638817
"1713","Mount Holyoke College",2,18878,22711,0.811,0.7857,0.0311960542540075
"1714","Mount Ida College",2,16767,8297,0.4226,0.4286,-0.0141978230004733
"1717","School of the Museum of Fine Arts-Boston",2,24737,14646,0.4444,0.4,0.0999099909990999
"1720","The New England Conservatory of Music",2,30965,28846,0.8056,1,-0.241310824230387
"1725","Newbury College",2,15985,6545,0.4527,0.3889,0.140932184669759
"1726","Nichols College",2,15101,4991,0.509,0.25,0.508840864440079
"1731","Northeastern University",2,29609,15593,0.8288,0.86,-0.0376447876447877
"1734","Pine Manor College",2,13673,10992,0.4091,0.1111,0.728428257149841
"1738","Regis College",2,17530,8550,0.4951,0.6,-0.211876388608362
"1741","Salem State University",1,7002,8666,0.4698,0.4468,0.0489570029799915
"1743","Simmons College",2,18581,13365,0.651,0.7917,-0.216129032258064
"1744","Bard College at Simon's Rock",2,20848,18161,0.5588,1,-0.789549033643522
"1745","Smith College",2,21901,26786,0.8522,0.9028,-0.0593757333959166
"1747","Springfield College",2,16867,10507,0.7146,0.8,-0.119507416736636
"1749","University of Massachusetts-Dartmouth",1,9174,11024,0.481,0.5238,-0.0889812889812891
"1750","Stonehill College",2,21222,13349,0.8263,0.6667,0.193150187583202
"1751","Suffolk University",2,24887,9476,0.5633,0.5938,-0.0541452156932362
"1753","Tufts University",2,29681,21543,0.9393,0.9342,0.00542957521558607
"1754","Wellesley College",2,19090,34705,0.9011,0.9638,-0.069581622461436
"1755","Wentworth Institute of Technology",2,16132,9040,0.6579,0.7193,-0.093327253381973
"1756","Western New England University",2,19220,9678,0.6153,0.75,-0.218917601170161
"1757","Westfield State University",1,7161,7305,0.6408,0.5625,0.122191011235955
"1758","Wheaton College",2,23672,15477,0.7712,0.8571,-0.111384854771784
"1759","Wheelock College",2,18206,12496,0.5605,0.2857,0.490276538804639
"1760","Williams College",2,28118,39712,0.9747,0.9434,0.0321124448548271
"1761","Worcester Polytechnic Institute",2,32881,23528,0.8542,0.8644,-0.0119409974244907
"1762","Worcester State University",1,6197,6651,0.5581,0.5,0.104103207310518
"1763","Adrian College",2,14193,8616,0.5655,0.5,0.115826702033599
"1764","Albion College",2,16808,13911,0.7376,0.9,-0.220173535791757
"1767","Alma College",2,15295,11731,0.6192,0.6667,-0.0767118863049095
"1769","Andrews University",2,15627,12620,0.575,0.619,-0.0765217391304349
"1770","Aquinas College",2,11627,6096,0.5561,0.25,0.550440568243122
"1771","Baker College of Owosso",2,7879,4185,0.1551,0.2,-0.289490651192779
"1776","Calvin College",2,16813,12897,0.7617,0.5714,0.24983589339635
"1780","Central Michigan University",1,9613,8491,0.5666,0.5116,0.0970702435580656
"1785","College for Creative Studies",2,23602,11285,0.6313,0.7778,-0.232060826865199
"1786","Davenport University",2,16437,5006,0.4545,0.25,0.44994499449945
"1792","University of Detroit Mercy",2,22915,13830,0.5575,0.85,-0.524663677130045
"1795","Eastern Michigan University",1,9345,8398,0.4507,0.4407,0.0221877080097626
"1796","Ferris State University",1,9806,8867,0.4548,0.4,0.120492524186456
"1799","Kettering University",2,20979,11797,0.6142,0.4444,0.276457180071638
"1805","Grand Valley State University",1,10238,8086,0.6591,0.6267,0.0491579426490669
"1808","Hope College",2,18046,10084,0.8158,0.75,0.0806570237803383
"1809","ITT Technical Institute-Wyoming",3,17601,2575,0.4023,0.5,-0.24285359184688
"1812","Kalamazoo College",2,17397,15391,0.8431,0.5,0.406950539675009
"1820","Lawrence Technological University",2,19554,9838,0.546,0.2857,0.476739926739927
"1823","Madonna University",2,11977,7733,0.5775,1,-0.731601731601732
"1826","University of Michigan-Ann Arbor",1,21520,22728,0.9199,0.9183,0.0017393194912491
"1828","Michigan State University",1,16352,14779,0.8294,0.7791,0.0606462503014227
"1829","Michigan Technological University",1,12860,10843,0.6525,0.6429,0.0147126436781608
"1830","University of Michigan-Dearborn",1,11540,9576,0.5147,0.5584,-0.0849038274723139
"1831","University of Michigan-Flint",1,10169,8190,0.3724,0.1667,0.552363050483351
"1841","Northern Michigan University",1,7554,7460,0.5065,0.1667,0.670878578479763
"1843","Northwestern Michigan College",1,5862,7402,0.197,0.6667,-2.38426395939086
"1844","Northwood University-Michigan",2,11879,5582,0.6161,0.6667,-0.0821295244278526
"1846","Oakland University",1,9761,7654,0.4957,0.3625,0.268710913859189
"1854","Saginaw Valley State University",1,7974,6283,0.4361,0.4545,-0.0421921577619813
"1856","Siena Heights University",2,9436,5072,0.6136,0.5,0.185136897001304
"1860","Spring Arbor University",2,10068,7358,0.5581,0.25,0.552051603655259
"1868","Wayne State University",1,9959,13364,0.4909,0.4834,0.0152780607048279
"1871","Western Michigan University",1,11364,10047,0.5543,0.52,0.061879848457514
"1879","Augsburg College",2,16467,9081,0.6877,0.5429,0.210556928893413
"1883","Bethany Lutheran College",2,11800,12008,0.5669,0.5,0.118010231081319
"1884","Bethel University",2,15840,8633,0.7664,0.75,0.0213987473903966
"1887","Carleton College",2,29707,26922,0.9522,0.92,0.033816425120773
"1888","Concordia College at Moorhead",2,16727,10948,0.7682,0.6667,0.132127050247331
"1889","Concordia University-Saint Paul",2,10502,5540,0.562,0.28,0.501779359430605
"1896","Globe University-Woodbury",3,18030,5104,0.4,1,-1.5
"1898","Gustavus Adolphus College",2,19361,15317,0.8189,0.8571,-0.0466479423617047
"1899","Hamline University",2,15603,7489,0.7255,0.5,0.310820124052378
"1907","The Art Institutes International-Minnesota",3,13978,5410,0.4717,0.4286,0.091371634513462
"1909","Macalester College",2,22572,19210,0.9104,0.85,0.0663444639718805
"1911","Minnesota State University-Mankato",1,5683,6040,0.5163,0.3729,0.277745496804184
"1917","Metropolitan State University",1,4823,4518,0.45,0.2222,0.506222222222222
"1918","University of Minnesota-Twin Cities",1,11369,13558,0.819,0.709,0.134310134310134
"1919","University of Minnesota-Crookston",1,6048,6197,0.5365,1,-0.863932898415657
"1921","Minneapolis College of Art and Design",2,20327,12923,0.6173,1,-0.619957881095092
"1926","University of Minnesota-Duluth",1,8339,7011,0.6038,0.4568,0.243458098708182
"1927","University of Minnesota-Morris",1,5263,8474,0.7028,0.7857,-0.117956744450768
"1928","Minnesota School of Business-Richfield",3,20537,5815,0.3333,0.3333,0
"1930","Minnesota State University Moorhead",1,5398,7267,0.4376,0.2,0.542961608775137
"1932","National American University-Roseville",3,15938,2656,0.5,0.75,-0.5
"1933","Sanford-Brown College-Mendota Heights",3,22676,9896,0.6563,0.5,0.238153283559348
"1937","University of Northwestern-St Paul",2,14599,7434,0.6738,0.5625,0.165182546749777
"1944","College of Saint Benedict",2,19671,11311,0.8271,0.7619,0.0788296457502115
"1947","Saint Cloud State University",1,5055,7329,0.4596,0.3393,0.261749347258486
"1948","Saint Johns University",2,19386,13539,0.8159,0.7778,0.0466968991297952
"1949","Saint Mary's University of Minnesota",2,10752,5392,0.6921,0.8333,-0.204016760583731
"1950","St Olaf College",2,22964,16837,0.8997,0.8571,0.0473491163721241
"1951","Crown College",2,11759,3426,0.6,0.4706,0.215666666666667
"1952","The College of Saint Scholastica",2,13989,8096,0.6387,0.1818,0.715359323626116
"1953","University of St Thomas",2,19304,13637,0.7233,0.7288,-0.00760403705239866
"1955","St Catherine University",2,16543,10127,0.6449,0.6182,0.041401767715925
"1958","Southwest Minnesota State University",1,3858,5745,0.504,0.125,0.751984126984127
"1962","Dunwoody College of Technology",2,17817,11493,0.4903,0.3684,0.248623291862125
"1965","Winona State University",1,5690,6581,0.5774,0.4211,0.270696224454451
"1977","Delta State University",1,4487,7064,0.3575,0.8,-1.23776223776224
"1988","Millsaps College",2,12365,14341,0.6809,0.8,-0.174915552944632
"1990","University of Mississippi",1,9498,14232,0.6414,0.697,-0.0866853757405675
"1991","Mississippi University for Women",1,4627,6554,0.4876,0.25,0.487284659557014
"1993","Mississippi College",2,11473,7825,0.5953,0.6667,-0.119939526289266
"1996","Mississippi State University",1,7092,7318,0.6356,0.6667,-0.0489301447451226
"2003","University of Southern Mississippi",1,6285,8219,0.5612,0.5625,-0.00231646471846038
"2011","ITT Technical Institute-Earth City",3,19678,2710,0.3571,0.3333,0.0666479977597311
"2012","Baptist Bible College",2,6589,4460,0.3947,1,-1.53356979984799
"2019","University of Central Missouri",1,6960,7862,0.5525,0.4,0.276018099547511
"2031","Drury University",2,10051,6561,0.6627,0.4444,0.329409989437151
"2036","Evangel University",2,11355,6895,0.5179,0.25,0.517281328441784
"2037","Fontbonne University",2,15390,8353,0.5615,0.4,0.287622439893143
"2041","Hannibal-LaGrange University",2,9457,4807,0.3817,1,-1.61985852763951
"2043","Hickey College",3,11498,6139,0.7,0.6667,0.0475714285714286
"2049","Kansas City Art Institute",2,18976,10567,0.54,1,-0.851851851851852
"2055","Lindenwood University",2,12137,4135,0.5616,0.4,0.287749287749288
"2060","Maryville University of Saint Louis",2,12443,6558,0.6855,0.7,-0.0211524434719182
"2066","Westwood College-O'Hare Airport",3,16589,3820,0.3226,0.25,0.225046497210167
"2069","Missouri College",3,12538,5263,0.8364,0.75,0.103299856527977
"2071","Missouri Southern State University",1,3288,6657,0.3768,0.4444,-0.179405520169851
"2074","Missouri Western State University",1,5591,7666,0.389,0.2,0.48586118251928
"2075","University of Missouri-Columbia",1,10477,11448,0.7097,0.7402,-0.0429759053121037
"2076","University of Missouri-Kansas City",1,11058,15441,0.5789,0.7708,-0.331490758334773
"2077","Missouri University of Science and Technology",1,11141,13337,0.6422,0.5714,0.110246029274369
"2078","University of Missouri-St Louis",1,8628,9752,0.4624,0.3,0.35121107266436
"2084","Truman State University",1,5083,9417,0.7151,0.8571,-0.198573626066284
"2085","Northwest Missouri State University",1,6306,7972,0.5175,0.5,0.0338164251207729
"2086","Ozark Christian College",2,8232,5411,0.4715,1,-1.12089077412513
"2091","Ranken Technical College",2,10542,3330,0.8585,0.3333,0.611764705882353
"2093","Rockhurst University",2,14625,7034,0.7074,0.6364,0.100367543115635
"2095","Everest College-Springfield",3,10842,6112,0.4444,0.5,-0.125112511251125
"2096","Saint Louis University",2,19691,18230,0.7566,0.7519,0.00621200105736193
"2102","St Louis College of Pharmacy",2,24290,13971,0.6647,0.7,-0.0531066646607492
"2105","Southwest Baptist University",2,8983,5389,0.532,0.5,0.0601503759398497
"2110","Stephens College",2,12161,9552,0.4783,0.5,-0.0453690152623876
"2111","Southeast Missouri State University",1,7457,6658,0.5249,0.45,0.142693846446942
"2112","Missouri State University-Springfield",1,6458,6932,0.5684,0.3611,0.364707952146376
"2117","Washington University in St Louis",2,24889,105933,0.9535,0.9774,-0.0250655479811222
"2118","Webster University",2,15482,6722,0.6483,0.5714,0.118617923800709
"2120","Westminster College",2,8592,6678,0.674,1,-0.483679525222552
"2128","Carroll College",2,15060,7695,0.6478,0.5,0.228156838530411
"2131","Montana State University-Billings",1,5594,6682,0.2652,0.3333,-0.256787330316742
"2141","Montana Tech of the University of Montana",1,6764,9707,0.4319,0.6667,-0.543644362120861
"2142","Montana State University",1,9467,7321,0.5089,0.4737,0.0691687954411476
"2143","The University of Montana",1,7723,8367,0.4917,0.4872,0.00915192190359976
"2145","Rocky Mountain College",2,11764,7204,0.4198,0.75,-0.786565030967127
"2153","Chadron State College",1,3561,5187,0.3804,0.5,-0.314405888538381
"2156","Creighton University",2,22571,13517,0.7989,0.8037,-0.00600826135936903
"2159","Hastings College",2,9191,8140,0.5957,0.6,-0.0072183985227463
"2162","University of Nebraska at Kearney",1,4655,7658,0.5882,0.6667,-0.133458007480449
"2169","University of Nebraska at Omaha",1,6140,8428,0.4651,0.4717,-0.0141904966673833
"2173","Nebraska Wesleyan University",2,12272,7123,0.6989,0.75,-0.0731148948347404
"2174","University of Nebraska-Lincoln",1,8944,10896,0.6781,0.6531,0.0368677186255715
"2179","Union College",2,15410,10177,0.496,0.75,-0.512096774193548
"2182","Wayne State College",1,3847,6294,0.5264,0.25,0.525075987841945
"2188","College of Southern Nevada",1,2530,5856,0.0783,0.0875,-0.11749680715198
"2189","The Art Institute of Las Vegas",3,13596,4593,0.3256,0.65,-0.996314496314496
"2192","University of Nevada-Las Vegas",1,6961,8805,0.4036,0.4076,-0.00991080277502479
"2193","University of Nevada-Reno",1,7750,15140,0.5684,0.5714,-0.00527797325826883
"2196","Sierra Nevada College",2,14162,6701,0.5067,1,-0.973554371422933
"2199","Colby-Sawyer College",2,10446,8181,0.4954,0.3333,0.327210335082761
"2201","Daniel Webster College",3,15395,3457,0.5591,0.3333,0.403863351815418
"2202","Dartmouth College",2,29358,25102,0.9726,0.9874,-0.0152169442730825
"2205","Franklin Pierce University",2,15535,8643,0.4694,0.25,0.467405198125266
"2207","Mount Washington College",3,14378,6065,0.2761,0.25,0.0945309670409272
"2213","Southern New Hampshire University",2,10367,2464,0.5269,0.3333,0.367432150313152
"2215","University of New Hampshire-Main Campus",1,12491,10676,0.7829,0.7885,-0.00715289308979427
"2217","University of New Hampshire at Manchester",1,10849,8302,0.4943,1,-1.02306291725673
"2218","Plymouth State University",1,11024,8943,0.5782,1,-0.72950536146662
"2228","Saint Anselm College",2,16856,11966,0.7621,0.75,0.0158771814722477
"2236","Berkeley College-Woodland Park",3,16647,6396,0.3878,0.4615,-0.190046415678185
"2238","Bloomfield College",2,18013,8240,0.3913,0.2222,0.432149246102734
"2241","Caldwell University",2,16560,6637,0.6788,0.3333,0.508986446670595
"2243","Centenary College",2,15555,5579,0.6256,0.2,0.680306905370844
